ID_REF	GSM1150937	GSM1150938	GSM1150939	GSM1150940	GSM1150941	GSM1150942
10820569	88.41	87.32	85.67	100.59	83.44	79.88
10820577	468.91	505.96	453.33	626.36	574.46	596.32
10820583	144.15	401.68	282.13	1452.38	808.74	867.37
10820586	1138.25	1216.99	1419.63	1643.21	1447.65	1356.53
10820589	2770.06	2645.64	2585.63	2202.31	2491.85	2361.36
10820611	135.13	164.31	144.07	137.35	139.99	142.53
10820613	202.39	480.79	392.56	1423.87	986.9	998.04
10820627	80.17	67.74	75.05	71.75	74.29	83.81
10820631	199.27	217.27	226	217.41	195.46	211.13
10820634	123.56	127.2	136.36	107.14	123.63	117.63
10820649	290.07	247.29	264.9	315.11	305.72	277.96
10820666	919.88	880.43	848.3	1083.59	1079.54	1041.47
10820686	59	75.9	69.55	64.33	54.01	65.98
10820688	1650.4	1504.64	1544.47	1546.3	1524.58	1541.16
10820693	4100.26	3444.31	3806.63	1761.88	2825.32	2681.27
10820711	130.74	148.88	151.68	129.82	117.24	124.44
10820713	1581.2	1596.17	1520.36	1923.74	1768.24	1692.1
10820748	360.01	349.63	413.96	353.17	336.87	315.28
10820754	1484.85	1524.9	1473.06	1434.67	1491.35	1439.95
10820761	25.12	28.32	26.1	23.67	25.31	26.11
10820763	81.21	75.5	74.48	89.11	65.23	78.66
10820766	241.29	218.1	243.31	200.72	205.41	190.81
10820770	1809.53	1788.21	1684.84	1614.98	1577.69	1561.81
10820795	2089.15	2028.64	2152.8	2033.15	2050.13	2026.96
10820824	461.91	391.92	402.65	469.93	426.98	421.14
10820835	2770.25	4665.45	4200.66	8809.84	7547.59	7166.73
10820843	181.11	1370.13	1020.33	2014.07	1726.82	1313.77
10820847	705.68	639.59	671.41	628.77	656.64	625.5
10820865	839.3	814.89	844.15	848.45	839.3	879.3
10820908	133.13	127.73	131.37	105.48	102.36	119.76
10820934	524.38	523.95	492.35	522.61	491.47	477.64
10820953	1643.09	1571.04	1655.67	1353.24	1497.77	1485.05
10820963	6.31	5.94	5.88	5.49	5.73	4.79
10820965	513.4	504.73	501.4	480.31	462.22	500.23
10820973	297.57	268.69	250.69	285.66	260.95	255.8
10820991	984.54	928.31	891.22	1027.84	959.71	969.26
10821004	444.82	422.75	393.55	542.34	514.83	481.66
10821008	81.45	66.35	72.91	76.97	72.93	71.95
10821016	165.15	163.32	178.54	198.26	180.49	229.38
10821029	1328.7	1243.85	1285.67	1092.64	1181.17	1192.44
10821047	290.71	275.47	281.21	290.57	272.05	306.63
10821050	2834.15	2748.83	2576.33	1966.34	2116.11	2276.66
10821067	2016.59	2338.71	2245.16	3459.15	2786.62	3192.79
10821070	8.24	7.42	8.25	10.26	7.15	5.86
10821072	830.62	765.36	774.93	752.02	717.17	735.33
10821105	277.24	364.22	355.84	628.94	439.47	446.41
10821113	30.44	23.4	24.28	30.9	30.01	25.95
10821115	336.91	428.09	427.89	397.34	398.89	417.68
